dance,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0.27,577,0,-8.195,573,755,123,139,362,170.254,4,1
579,409,0,-10.095,268,624,1.83e-05,0.18,526,109.417,3,1
427,916,0,-15.364,39,977,235,855,111,100.7,1,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
0.45,0.25,0,-8.333,96,909,0.0,131,377,82.108,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
329,139,5,-11.934,407,949,0.0,117,183,169.608,5,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
499,339,8,-8.929,61,917,0.0,784,656,116.269,4,1
258,175,0,-11.903,323,939,156,136,107,89.072,3,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
699,726,7,-5.364,726,575,0.0,655,877,119.185,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
551,232,3,-13.619,782,626,0.0,0.13,394,103.308,4,1
609,247,7,-9.038,425,961,2.41e-06,219,485,112.3,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
626,248,11,-12.898,61,827,0.0,965,639,80.542,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
287,131,7,-19.807,777,896,0.0,988,0.19,72.627,4,1
258,175,0,-11.903,323,939,156,136,107,89.072,3,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
626,248,11,-12.898,61,827,0.0,965,639,80.542,4,1
422,108,5,-16.835,376,971,0.0,101,263,71.872,4,1
665,443,0,-8.076,803,582,0.0,113,662,122.872,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
699,726,7,-5.364,726,575,0.0,655,877,119.185,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
699,726,7,-5.364,726,575,0.0,655,877,119.185,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
638,767,10,-13.98,588,937,0.0,121,599,114.353,4,1
574,414,9,-7.16,495,842,0.0,172,867,77.968,4,1
691,916,9,-5.313,117,29,0.0,121,394,133.889,4,1
0.76,807,6,-5.603,866,304,0.0,0.11,562,113.975,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
425,373,4,-7.543,801,686,0.0,77,663,78.231,4,1
425,373,4,-7.543,801,686,0.0,77,663,78.231,4,1
425,373,4,-7.543,801,686,0.0,77,663,78.231,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
525,623,1,-16.836,0.05,994,157,106,0.17,91.205,3,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
525,623,1,-16.836,0.05,994,157,106,0.17,91.205,3,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
525,623,1,-16.836,0.05,994,157,106,0.17,91.205,3,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
635,393,9,-10.889,394,652,0.0,845,0.97,107.172,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
0.25,228,3,-14.186,364,811,166,199,198,90.001,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
0.32,0.21,6,-15.231,345,0.92,8.01e-05,138,208,73.196,5,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
258,292,4,-10.73,291,868,2.59e-06,0.11,145,134.943,3,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
226,382,1,-9.243,288,845,0.0,111,165,81.943,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
684,437,9,-10.522,491,742,1.63e-05,224,964,107.607,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
0.29,164,4,-15.755,302,909,3.52e-06,961,231,107.841,3,1
553,337,10,-10.334,303,818,0.0,113,664,102.213,4,1
294,253,1,-13.146,349,884,6.3e-06,132,234,85.256,4,1
