genre,dance,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,liveness,key,mode
classical,0.234,0.0207,-28.977,0.0375,0.991,0.918,0.0365,80.304,0.133,1,1
classical,0.433,0.00393,-35.967,0.0622,0.992,0.948,0.136,138.629,0.0594,4,0
classical,0.253,0.107,-22.68,0.0461,0.993,0.888,0.0379,66.943,0.123,1,1
classical,0.261,0.0312,-28.733,0.0332,0.978,0.902,0.115,64.976,0.0886,5,1
classical,0.556,0.0126,-24.994,0.0965,0.995,0.933,0.0866,99.151,0.0978,4,0
classical,0.333,0.201,-21.426,0.0375,0.986,0.912,0.0366,115.721,0.173,6,0
classical,0.136,0.0681,-27.094,0.0399,0.991,0.922,0.0336,56.088,0.0703,1,1
classical,0.225,0.0944,-24.985,0.0348,0.979,0.931,0.04,77.723,0.0891,1,0
classical,0.391,0.141,-22.924,0.0545,0.985,0.912,0.668,89.719,0.145,6,1
classical,0.528,0.202,-17.957,0.0458,0.909,0.0849,0.636,111.552,0.105,4,1
classical,0.353,0.0615,-25.159,0.0612,0.995,0.51,0.726,89.71,0.122,7,1
classical,0.261,0.0555,-25.707,0.0375,0.991,0.88,0.148,79.39,0.173,10,1
classical,0.256,0.0319,-25.961,0.0463,0.976,2.08e-05,0.191,129.158,0.0719,7,0
classical,0.444,0.0908,-22.296,0.0648,0.98,0.839,0.626,140.285,0.128,6,1
classical,0.246,0.114,-17.737,0.0453,0.98,0.0639,0.0986,98.742,0.0796,10,0
classical,0.511,0.158,-21.263,0.0648,0.985,0.894,0.858,125.057,0.159,6,1
classical,0.269,0.031,-26.854,0.0485,0.949,0.765,0.234,110.961,0.114,6,1
classical,0.52,0.0873,-20.015,0.0704,0.976,0.895,0.863,76.241,0.108,1,1
classical,0.409,0.194,-22.745,0.055,0.974,0.846,0.586,112.847,0.152,11,1
classical,0.12,0.0424,-22.957,0.048,0.923,0.0271,0.039,83.245,0.081,7,0
classical,0.429,0.236,-19.074,0.0402,0.987,0.866,0.902,135.546,0.295,1,0
classical,0.462,0.207,-18.438,0.0517,0.919,0.142,0.6,120.276,0.0949,2,0
classical,0.466,0.279,-15.579,0.0444,0.903,0.381,0.897,149.148,0.175,2,1
classical,0.36,0.0691,-23.795,0.0599,0.984,0.885,0.351,132.761,0.11,1,0
classical,0.502,0.0683,-20.249,0.0676,0.983,0.76,0.341,107.535,0.109,1,1
classical,0.503,0.149,-20.132,0.0526,0.982,0.891,0.782,112.24,0.102,1,0
classical,0.276,0.0218,-26.215,0.0433,0.961,0.6,0.0971,100.388,0.109,1,0
classical,0.329,0.0797,-22.143,0.0538,0.985,0.904,0.574,82.243,0.121,1,0
classical,0.45,0.282,-16.884,0.0416,0.935,0.491,0.495,139.313,0.221,7,0
classical,0.282,0.152,-14.313,0.0346,0.955,0.911,0.116,60.237,0.175,2,0
classical,0.61,0.0815,-20.149,0.0485,0.979,0.75,0.629,96.503,0.102,7,1
classical,0.184,0.0907,-20.078,0.0518,0.888,0.303,0.158,93.096,0.14,0,0
classical,0.472,0.281,-11.712,0.033,0.94,0.0518,0.456,85.967,0.106,2,0
classical,0.423,0.102,-24.513,0.0549,0.983,0.852,0.845,78.446,0.116,6,0
metal,0.488,0.87,-4.185,0.0421,0.00353,0,0.211,110.072,0.484,6,0
metal,0.556,0.864,-5.87,0.0584,0.00958,0,0.4,105.143,0.209,3,0
metal,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.364,158.066,0.0805,11,0
metal,0.643,0.849,-5.428,0.0526,0.0371,0,0.903,162.152,0.058,2,1
metal,0.466,0.872,-3.344,0.0336,0.0156,0,0.806,184.115,0.121,7,1
metal,0.446,0.764,-5.042,0.033,0.00135,0,0.543,172.094,0.099,10,1
metal,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.547,88.969,0.108,0,1
metal,0.386,0.677,-5.83,0.0346,0.00841,0.00366,0.195,126.602,0.341,2,1
metal,0.417,0.934,-3.908,0.119,0.000278,0.0015,0.287,127.066,0.132,7,0
metal,0.554,0.98,-3.514,0.108,0.127,0,0.611,135.12,0.0833,4,1
metal,0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.538,95.136,0.0787,9,1
metal,0.553,0.853,-3.668,0.0339,0.000684,0,0.506,122.023,0.126,8,1
metal,0.331,0.943,-3.188,0.0698,0.00721,2.06e-06,0.296,94.612,0.242,4,0
metal,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.543,99.005,0.168,11,0
metal,0.59,0.963,-6.489,0.0676,8.75e-05,0.000105,0.586,125.033,0.0781,0,0
metal,0.434,0.897,-4.918,0.0488,0.0103,0,0.685,148.708,0.612,0,1
metal,0.432,0.884,-6.657,0.128,0.0128,0.000457,0.619,108.835,0.166,8,1
metal,0.727,0.834,-5.851,0.0496,0.165,0,0.816,131.7,0.105,2,1
metal,0.566,0.834,-8.412,0.0298,0.00277,0.008,0.621,123.296,0.0625,6,0
metal,0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.385,141.466,0.297,9,0
metal,0.55,0.917,-3.159,0.0638,0.00428,0,0.601,126.115,0.197,0,1
metal,0.498,0.83,-5.157,0.0421,0.00461,0,0.453,89.342,0.139,6,0
metal,0.413,0.873,-4.151,0.0536,0.000264,0.00249,0.48,116.68,0.204,8,1
metal,0.571,0.928,-3.725,0.0453,0.00932,0,0.489,127.939,0.297,4,0
metal,0.618,0.938,-3.442,0.0456,0.0179,0,0.875,91.455,0.167,9,1
metal,0.445,0.952,-5.321,0.0522,0.09,0.0843,0.624,125.304,0.112,6,1
metal,0.494,0.946,-2.757,0.0637,0.00129,0,0.741,103.408,0.398,4,1
metal,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.458,84.581,0.141,4,1
metal,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.666,90.565,0.119,4,0
metal,0.459,0.83,-6.254,0.0364,5.15e-05,0.00014,0.431,155.827,0.206,2,1
metal,0.541,0.969,-3.439,0.0458,0.113,0,0.599,140.119,0.638,11,1
metal,0.532,0.887,-3.757,0.0335,0.0778,0.000206,0.794,122.509,0.294,0,1
metal,0.269,0.853,-4.647,0.0854,0.000249,0.000246,0.179,141.581,0.118,7,0
metal,0.443,0.781,-4.277,0.0377,1.33e-05,0.205,0.372,71.841,0.166,1,1
metal,0.353,0.898,-5.877,0.052,2.23e-05,0.105,0.525,103.299,0.39,2,1
metal,0.644,0.939,-3.486,0.0456,0.157,0,0.861,106.031,0.233,11,0
metal,0.64,0.957,-2.336,0.0741,0.0431,0,0.692,134.992,0.0789,8,1
metal,0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.285,108.789,0.0504,7,1
metal,0.589,0.89,-3.719,0.06,0.000481,0.00082,0.687,90.586,0.201,4,0
metal,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.328,96.483,0.127,9,0
metal,0.354,0.982,-3.026,0.168,0.000237,0.000294,0.194,143.772,0.204,4,0
metal,0.47,0.796,-3.277,0.0336,0.362,1.1e-06,0.215,113.108,0.133,8,0
metal,0.35,0.828,-5.373,0.041,0.000217,0.000161,0.147,105.435,0.0774,6,1
metal,0.554,0.932,-3.424,0.0485,0.00154,0.000139,0.478,112.488,0.425,5,0
metal,0.523,0.943,-4.203,0.0337,0.00704,3.81e-05,0.766,99.607,0.0579,1,1
metal,0.206,0.965,-5.116,0.079,9.91e-06,0.827,0.168,92.615,0.367,1,1
metal,0.509,0.843,-3.318,0.0488,0.000671,0.000803,0.332,140.055,0.348,1,0
metal,0.355,0.791,-7.565,0.0453,0.00045,0,0.758,106.392,0.0969,8,1
metal,0.454,0.987,-4.485,0.0881,0.0195,0.279,0.316,123.61,0.268,8,1
metal,0.364,0.922,-4.217,0.0567,0.000915,0.0346,0.227,79.342,0.0697,0,0
metal,0.451,0.815,-5.55,0.0368,6.06e-05,0,0.618,147.974,0.27,2,0
metal,0.545,0.932,-2.189,0.0399,0.000665,0,0.464,92.956,0.127,7,0
metal,0.614,0.568,-5.477,0.0276,0.00797,0,0.516,107.849,0.0997,7,0
metal,0.394,0.944,-6.506,0.0761,0.00178,4.54e-06,0.265,105.338,0.298,10,0
metal,0.367,0.634,-6.475,0.027,0.000824,0.0759,0.0964,89.981,0.116,5,1
metal,0.412,0.658,-12.051,0.0708,4.52e-05,0.000774,0.454,163.071,0.176,4,0
metal,0.494,0.939,-3.127,0.126,0.00666,0,0.893,177.751,0.139,1,1
metal,0.611,0.95,-3.509,0.0518,0.00141,1.59e-06,0.607,132.078,0.0543,8,1
metal,0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.299,105.076,0.536,4,1
metal,0.687,0.677,-4.172,0.0508,0.000643,0.000137,0.545,75.052,0.0564,2,1
metal,0.541,0.959,-2.947,0.0505,0.0663,2.18e-06,0.812,122.805,0.344,0,0
metal,0.391,0.951,-7.419,0.0688,0.012,0.000446,0.468,157.663,0.0878,6,1
metal,0.64,0.864,-6.576,0.0314,0.00832,0,0.701,102.026,0.123,7,1
metal,0.524,0.939,-3.994,0.113,0.00022,0,0.661,150.184,0.623,9,1
